,BusDesc,B1_PER_SUB_TYPE,DBA,Business_Location,add,add_num,street,new_name,alcohol
12577,RENTAL PROPERTY,Rental of Real Property,SALAB,"2793 BENVENUE AVE
BERKELEY, TX 94705
(37.860234002, -122.254331998)",2793 BENVENUE AVE,2793,BENVENUEAVE,SALAB,False
12579,RESIDENTIAL RENTAL 5 UNITS,Rental of Real Property,FERNANDEZ LUIS,"1744 TENTH ST
BERKELEY, CA 94710
(37.871615997, -122.294376959)",1744 TENTH ST,1744,TENTHST,FERNANDEZLUIS,False
12580,RENTAL PROPERTY,Rental of Real Property,DAI ALICE,"1332 CARRISON ST
BERKELEY, CA 94702
(37.852052007, -122.281961014)",1332 CARRISON ST,1332,CARRISONST,DAIALICE,False
12581,WINE BROKER,Professional SemiProfessional,DICKSON BONNEAU,"2428 MCGEE AVE
BERKELEY, CA 94703
(37.863509021, -122.277029018)",2428 MCGEE AVE,2428,MCGEEAVE,DICKSONBONNEAU,False
12583,RESIDENTIAL RENTAL PROPERTY - 20 UNITS,Rental of Real Property,ADDISON COMPANY,"1912 ADDISON ST
BERKELEY, CA 94704
(37.870440016, -122.272165)",1912 ADDISON ST,1912,ADDISONST,ADDISONCOMPANY,False
12584,PSYCHOLOGICAL SERVICES,Professional SemiProfessional,FERNANDES-SESHADRI NISHA,"1918 BONITA AVE
BERKELEY, CA 94704
(37.872779992, -122.272194001)",1918 BONITA AVE,1918,BONITAAVE,FERNANDESSESHADRINISHA,False
12589,PSYCHOTHERAPY,Professional SemiProfessional,CRYSTAL MOORE LMFT,"2000 HEARST AVE 207
BERKELEY, CA 94709
(37.873456999, -122.270639996)",2000 HEARST AVE 207,2000,HEARSTAVE,CRYSTALMOORELMFT,False
12590,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,TAN RICARDO & JANNETTE,"1780 CURTIS ST
BERKELEY, CA 94702
(37.872322005, -122.29004603)",1780 CURTIS ST,1780,CURTISST,TANRICARDOJANNETTE,False
12591,ACUPUNCTURIST,Professional SemiProfessional,BHATNAGAR GAYATRI,"1720 BANCROFT WAY
BERKELEY, CA 94703
(37.866488109, -122.275812284)",1720 BANCROFT WAY,1720,BANCROFTWAY,BHATNAGARGAYATRI,False
12593,RENTAL PROPERTY - COMMERCIAL,Rental of Real Property,ARLINGTON INVESTMENT COMPANY,"1261 UNIVERSITY AVE
BERKELEY, CA 94702
(37.86992499, -122.287586025)",1261 UNIVERSITY AVE,1261,UNIVERSITYAVE,ARLINGTONINVESTMENTCOMPANY,False
12594,RESIDENTIAL RENTAL 6 UNITS,Rental of Real Property,KARBASSI P & GHAZANFARI MARIO,"2918 ADELINE ST
BERKELEY, CA 94703
(37.855774997, -122.269444988)",2918 ADELINE ST,2918,ADELINEST,KARBASSIPGHAZANFARIMARIO,False
12595,NON-VOLATILE CANNABIS MFG & SELF-DISTRIBUTION,Cannabis,NANOGEN LLC,"1801 EASTSHORE HWY
BERKELEY, CA 94710
(37.86928302, -122.303481969)",1801 EASTSHORE HWY,1801,EASTSHOREHWY,NANOGENLLC,False
12596,SUSHI RESTUARANT,Retail Trade,DARUMA SUSHI,"2215 SAN PABLO AVE
BERKELEY, CA 94702
(37.865974013, -122.290748014)",2215 SAN PABLO AVE,2215,SANPABLOAVE,DARUMASUSHI,True
12598,RENTAL PROPERTY,Rental of Real Property,HIRSHBERG RICHARD,"2607 FULTON ST
BERKELEY, CA 94704
(37.862018006, -122.264474017)",2607 FULTON ST,2607,FULTONST,HIRSHBERGRICHARD,False
12599,RESTAURANT/MICRO BREWERY,Retail Trade,JUPITER,"2181 SHATTUCK AVE
BERKELEY, CA 94704
(37.869800016, -122.267587978)",2181 SHATTUCK AVE,2181,SHATTUCKAVE,JUPITER,False
12601,ONLINE SALES/ E-COMMERCE,Retail Trade,AMERICAN RESOURCE LLC,"1935 ADDISON ST A
BERKELEY, CA 94704
(37.871025995, -122.271353967)",1935 ADDISON ST A,1935,ADDISONSTA,AMERICANRESOURCELLC,False
12603,GHOST TOURS AND PARANORMAL INVESTIGATIONS,Business Personal Repair Svs,THE HAUNTED BAY,"3154 COLLEGE AVE 3
BERKELEY, CA 94705
(37.851936001, -122.252816969)",3154 COLLEGE AVE 3,3154,COLLEGEAVE,THEHAUNTEDBAY,False
12604,RENTAL PROPERTY APARTMENTS/14 UNITS,Rental of Real Property,REID MAX & JANE,"1815 SPRUCE ST
BERKELEY, CA 94709
(37.875249008, -122.265194022)",1815 SPRUCE ST,1815,SPRUCEST,REIDMAXJANE,False
12605,PARKING LOT,Business Personal Repair Svs,DOUGLAS PARKING LLC,"2942 DOMINGO AVE
BERKELEY, CA 94705
(37.858326993, -122.244123007)",2942 DOMINGO AVE,2942,DOMINGOAVE,DOUGLASPARKINGLLC,False
12607,NON PROFIT ORGANIZATION,Non Profit Organizations,LA PENA CULTURAL CENTER,"3105 SHATTUCK AVE
BERKELEY, CA 94705
(37.852821005, -122.265893995)",3105 SHATTUCK AVE,3105,SHATTUCKAVE,LAPENACULTURALCENTER,False
12608,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,NUE OAK 3,"1016 JONES ST
BERKELEY, CA 94710
(37.875778995, -122.295892994)",1016 JONES ST,1016,JONESST,NUEOAK3,False
12609,CARPENTER,Construction or Contractor,AL NELSON CONSTRUCTION INC,"2547 EIGHTH ST
BERKELEY, CA 94710
(37.859523007, -122.292320962)",2547 EIGHTH ST,2547,EIGHTHST,ALNELSONCONSTRUCTION,False
12610,MULTIFAMILY APARTMENT BUILDING (107 UNITS),Rental of Real Property,THE ADDISON,"1950 ADDISON ST
BERKELEY, CA 94704
(37.870448985, -122.271756969)",1950 ADDISON ST,1950,ADDISONST,THEADDISON,False
12615,MFG-MEDICAL CANNABIS EDIBLES,Cannabis,PURPLE MOUNTAIN MANUFACTURING LLC,"885 POTTER ST
BERKELEY, CA 94702
(37.85146095, -122.291824219)",885 POTTER ST,885,POTTERST,PURPLEMOUNTAINMANUFACTURINGLLC,False
12616,ANIMATION VIDEO EDITING MOTION GRAPHIC DESIGN,Entertainment Recreation,RAPID EYE DIGITAL LLC,"483 KENTUCKY AVE
BERKELEY, CA 94707
(37.901857988, -122.271537027)",483 KENTUCKY AVE,483,KENTUCKYAVE,RAPIDEYEDIGITALLLC,False
12617,"SOFTWARE, ADMINISTRATION, OFFICE, MARKETING",Professional SemiProfessional,AMBI ROBOTICS,"1610 FIFTH ST
BERKELEY, CA 94710
(37.873331019, -122.301181975)",1610 FIFTH ST,1610,FIFTHST,AMBIROBOTICS,False
12618,RESIDENTIAL RENTAL 8 UNITS,Rental of Real Property,COHEN EVERED & LORETTA,"1610 PRINCE ST
BERKELEY, CA 94703
(37.851591002, -122.275969965)",1610 PRINCE ST,1610,PRINCEST,COHENEVEREDLORETTA,False
12619,PSYCHOTHERAPIST - PRIVATE PRACTICE,Professional SemiProfessional,GILBERT SUSANNA MFT,"2127 ASHBY AVE
BERKELEY, CA 94705
(37.855654004, -122.265342969)",2127 ASHBY AVE,2127,ASHBYAVE,GILBERTSUSANNAMFT,False
12622,CONSULTING SERVICES,Professional SemiProfessional,VRPA TECHNOLOGIES INC,"2625 PIEDMONT AVE
BERKELEY, CA 94704
(37.863436014, -122.251089961)",2625 PIEDMONT AVE,2625,PIEDMONTAVE,VRPATECHNOLOGIES,False
12623,RENTAL PROPERTY,Rental of Real Property,VALHAUS LP,"2430 BANCROFT WAY
BERKELEY, CA 94704
(37.868277988, -122.260718002)",2430 BANCROFT WAY,2430,BANCROFTWAY,VALHAUSLP,False
12624,RESIDENTAL RENTAL PROPERTY - 32 UNITS,Rental of Real Property,CGK ASSOCIATES,"1290 HOPKINS ST
BERKELEY, CA 94702
(37.877444019, -122.288479033)",1290 HOPKINS ST,1290,HOPKINSST,CGKASSOCIATES,False
12625,ATTORNEY/REAL ESTATE BROKER,Professional SemiProfessional,BERGMAN MAEVE K LLM,"2218 MCGEE AVE
BERKELEY, CA 94703
(37.86749801, -122.277401007)",2218 MCGEE AVE,2218,MCGEEAVE,BERGMANMAEVEKLLM,False
12626,RENTAL PROPERTY/6 UNITS NON-PROFIT,Non Profit Organizations,NORTHERN CALIFORNIA LAND TRUST,"2425 CALIFORNIA ST
BERKELEY, CA 94703
(37.863487982, -122.278646977)",2425 CALIFORNIA ST,2425,CALIFORNIAST,NORTHERNCALIFORNIALANDTRUST,False
12628,SOUND & LIGHTING RENTAL,Business Personal Repair Svs,BUTLER SOUND AND LIGHTING,"3018 HARPER ST
BERKELEY, CA 94703
(37.853432003, -122.272340014)",3018 HARPER ST,3018,HARPERST,BUTLERSOUNDANDLIGHTING,False
12629,RESIDENTIAL BUILDING CONTRACTOR,Construction or Contractor,MCBRIDE CONSTRUCTION,"1429 CHANNING WAY
BERKELEY, CA 94702
(37.864095, -122.281904017)",1429 CHANNING WAY,1429,CHANNINGWAY,MCBRIDECONSTRUCTION,False
12631,RENTAL PROPERTY,Rental of Real Property,TAYLOR SPRINGS MGMT LLC,"2414 TELEGRAPH AVE
BERKELEY, CA 94704
(37.866550981, -122.259027037)",2414 TELEGRAPH AVE,2414,TELEGRAPHAVE,TAYLORSPRINGSMGMTLLC,False
12633,RENTAL PROPERTY,Rental of Real Property,NG YANPENG/YU KATHERINE,"1244 ASHBY AVE
BERKELEY, CA 94702
(37.852336992, -122.284628973)",1244 ASHBY AVE,1244,ASHBYAVE,NGYANPENGYUKATHERINE,False
12635,EDUCATION IN EARLY CHILDHOOD PROGRAMS,Non Profit Organizations,BERKELEY ROSE SCHOOL,"2515 HILLEGASS AVE
BERKELEY, CA 94704
(37.864971998, -122.255922967)",2515 HILLEGASS AVE,2515,HILLEGASSAVE,BERKELEYROSESCHOOL,False
12636,DIGITAL MARKETING TECHNOLOGY CONSULTING,Professional SemiProfessional,NXTPLAY LLC,"2001 ADDISON ST
BERKELEY, CA 94704
(37.871179007, -122.270358029)",2001 ADDISON ST,2001,ADDISONST,NXTPLAYLLC,False
12637,COUnSELING SERVICES,Professional SemiProfessional,LAPINSKI COUNSELING SERVICES,"1918 BONITA AVE
BERKELEY, NY 94704
(37.872779992, -122.272194001)",1918 BONITA AVE,1918,BONITAAVE,LAPINSKICOUNSELINGSERVICES,False
12638,"RESEARCH, DEVELOPMENT, & TRAINING ON RATIONALITY, COGNITIVE TOOLS",Non Profit Organizations,CENTER FOR APPLIED RATIONALITY,"2036 BANCROFT WAY
BERKELEY, CA 94704
(37.867238004, -122.268528008)",2036 BANCROFT WAY,2036,BANCROFTWAY,CENTERFORAPPLIEDRATIONALITY,False
12641,RESIDENTIAL RENTAL PROPERTY 8 UNITS,Rental of Real Property,BUXTON JAMES & MARTHA,"1727 WARD ST
BERKELEY, CA 94703
(37.858780999, -122.274466)",1727 WARD ST,1727,WARDST,BUXTONJAMESMARTHA,False
12642,RENTAL PROPERTY 6 UNITS,Rental of Real Property,BING & SUI LEE FAMILY LLC,"1518 BONITA AVE
BERKELEY, CA 94709
(37.878877995, -122.27291803)",1518 BONITA AVE,1518,BONITAAVE,BINGSUILEEFAMILYLLC,False
12643,LEGAL SERVICES,Professional SemiProfessional,LAW OFFICES OF RICHARD C NAISH,"1760 SOLANO AVE 303
BERKELEY, CA 94707
(37.891001998, -122.281070017)",1760 SOLANO AVE 303,1760,SOLANOAVE,LAWOFFICESOFRICHARDCNAISH,False
12644,RESIDENTIAL RENTAL PROPERTY-4 UNITS,Rental of Real Property,PAPPAS NICK A,"1923 CURTIS ST
BERKELEY, NV 94702
(37.869978006, -122.289287971)",1923 CURTIS ST,1923,CURTISST,PAPPASNICKA,False
12645,RESTAURANT,Retail Trade,SISTORY THAI KITCHEN,"1233 SAN PABLO AVE
BERKELEY, CA 94706
(37.881154017, -122.295704988)",1233 SAN PABLO AVE,1233,SANPABLOAVE,SISTORYTHAIKITCHEN,True
12646,GRAPHIC DESIGN,Professional SemiProfessional,THE PALISADE GROUP,"1079 CRAGMONT AVE
BERKELEY, CA 94708
(37.891661989, -122.261394003)",1079 CRAGMONT AVE,1079,CRAGMONTAVE,THEPALISADEGROUP,False
12647,PSYCHIATRY & PSYCHOTHERAPY PRACTICE - PRIMARILY VIRTUAL VISITS,Professional SemiProfessional,LIBERATION PSYCHIATRY,"14 ROSLYN CT
BERKELEY, CA 94618
(37.85196999, -122.245519013)",14 ROSLYN CT,14,ROSLYNCT,LIBERATIONPSYCHIATRY,False
12648,MARRIAGE & FAMILY THERAPIST,Professional SemiProfessional,PALTER LUBA,"2925 SHATTUCK AVE
BERKELEY, CA 94705
(37.855772985, -122.266249974)",2925 SHATTUCK AVE,2925,SHATTUCKAVE,PALTERLUBA,False
12650,RENTAL PROPERTY/15 UNITS,Rental of Real Property,BEARY URY & ARELA,"1734 BLAKE ST
BERKELEY, CA 94703
(37.861816002, -122.274727012)",1734 BLAKE ST,1734,BLAKEST,BEARYURYARELA,False
12651,LAW FIRM,Professional SemiProfessional,MIDORI LAW GROUP PC,"2039 SHATTUCK AVE 505
BERKELEY, CA 94704
(37.871441989, -122.267445988)",2039 SHATTUCK AVE 505,2039,SHATTUCKAVE,MIDORILAWGROUPPC,False
12652,RESIDENTIAL RENTAL-3 UNITS (U1),Rental of Real Property,PRICE DANIEL & STANKOWSKI RACHEL,"1708 TENTH ST
BERKELEY, CA 94710
(37.872748979, -122.294898984)",1708 TENTH ST,1708,TENTHST,PRICEDANIELSTANKOWSKIRACHEL,False
12653,COMMERCIAL RENTAL-LIGHT INDUSTRIAL (68),Rental of Real Property,MASSIH KAVA LLC,"920 GRAYSON ST
BERKELEY, CA 94710
(37.855273005, -122.291514036)",920 GRAYSON ST,920,GRAYSONST,MASSIHKAVALLC,False
12654,CHARITY FOOD SERVICE,Non Profit Organizations,DOROTHY DAY HOUSE,"1931 CENTER ST
BERKELEY, CA 94704
(37.870088982, -122.271783036)",1931 CENTER ST,1931,CENTERST,DOROTHYDAYHOUSE,False
12657,COMPUTER SOFTWARE DESIGN,Professional SemiProfessional,ACCESS SOFTEK INC,"727 ALLSTON WAY
BERKELEY, CA 94710
(37.865027989, -122.298760024)",727 ALLSTON WAY,727,ALLSTONWAY,ACCESSSOFTEK,False
12658,RESIDENTIAL RENTAL - 5 UNITS,Rental of Real Property,REDDY REALTY,"2310 DWIGHT WAY
BERKELEY, CA 94704
(37.864409991, -122.262495971)",2310 DWIGHT WAY,2310,DWIGHTWAY,REDDYREALTY,False
12660,RES RENTAL - 4 UNITS,Rental of Real Property,MYSTERIA LAYNE LLC,"1628 WOOLSEY ST
BERKELEY, CA 94703
(37.850853017, -122.274963969)",1628 WOOLSEY ST,1628,WOOLSEYST,MYSTERIALAYNELLC,False
12661,CAFE,Retail Trade,SENS BISTRO,"1540 SHATTUCK AVE
BERKELEY, CA 94709
(37.879326007, -122.269620002)",1540 SHATTUCK AVE,1540,SHATTUCKAVE,SENSBISTRO,False
12663,RESIDENTIAL RENTAL 5 UNITS,Rental of Real Property,BERKELEYS EDGE PROPERTIES LLC,"2443 WOOLSEY ST
BERKELEY, CA 94705
(37.853637989, -122.256381038)",2443 WOOLSEY ST,2443,WOOLSEYST,BERKELEYSEDGEPROPERTIESLLC,False
12667,RESIDENTIAL RENTAL - 3 UNITS,Rental of Real Property,AL-HADITHY NABIL,"1719 PARKER ST
BERKELEY, CA 94703
(37.861344981, -122.275244008)",1719 PARKER ST,1719,PARKERST,ALHADITHYNABIL,False
12668,"RESTAURANT - DINE-IN, TAKE OUT, DELIVERY",Retail Trade,CAMILLE VIETNAMESE CUISINE LLC,"2507 HEARST AVE C
BERKELEY, CA 94709
(37.875380981, -122.259776966)",2507 HEARST AVE C,2507,HEARSTAVEC,CAMILLEVIETNAMESECUISINELLC,False
12669,RESIDENTIAL RENTAL PROPERTY - 4 UNITS,Rental of Real Property,STEINSSON JON / NAKAMURA EMI,"2925 REGENT ST
BERKELEY, CA 94705
(37.857108013, -122.256637021)",2925 REGENT ST,2925,REGENTST,STEINSSONJONNAKAMURAEMI,False
12670,HAIR CARE SERVICES - CUT & COLOR,Business Personal Repair Svs,CORDOVA NADIA,"3312 ADELINE ST
BERKELEY, CA 94703
(37.848394982, -122.272007001)",3312 ADELINE ST,3312,ADELINEST,CORDOVANADIA,False
12671,CULTURAL EDUCATION,Non Profit Organizations,SILK ROAD HOUSE,"1944 UNIVERSITY AVE
BERKELEY, CA 94704
(37.871200004, -122.271912034)",1944 UNIVERSITY AVE,1944,UNIVERSITYAVE,SILKROADHOUSE,False
12673,RENTAL PROPERTY/13 UNITS,Rental of Real Property,SHAFTON PETER & PILGRIM MERCED,"1542 BERKELEY WAY
BERKELEY, CA 94703
(37.871368983, -122.280305001)",1542 BERKELEY WAY,1542,BERKELEYWAY,SHAFTONPETERPILGRIMMERCED,False
12674,MARKETING CONSULTANT,Professional SemiProfessional,WHITAKER COMMUNICATIONS,"1731 CARLETON ST
BERKELEY, CA 94703
(37.860507, -122.274641014)",1731 CARLETON ST,1731,CARLETONST,WHITAKERCOMMUNICATIONS,False
12675,COMPUTER PROGRAMMING MFG,Professional SemiProfessional,RHAMPHORHYNCHUS SOFTWARE,"3134 CALIFORNIA ST
BERKELEY, CA 94703
(37.850586012, -122.276559967)",3134 CALIFORNIA ST,3134,CALIFORNIAST,RHAMPHORHYNCHUSSOFTWARE,False
12676,RESIDENTIAL RENTAL 5 UNITS,Rental of Real Property,HAFIZI LLC,"2316 WARD ST
BERKELEY, CA 94705
(37.859914986, -122.261252013)",2316 WARD ST,2316,WARDST,HAFIZILLC,False
12678,INVESTMENT ADVISOR,Professional SemiProfessional,KENSHO CAPITAL LLC,"CA
(36.374105693, -119.27023)",CA,CA,CA,KENSHOCAPITALLLC,False
12680,RESEARCH WORTHY NONPROFIT GROUPS FOR FUNDING GRANTS,Professional SemiProfessional,WELLS GRANT CONSULTANT,"1011 FOUNTAIN WALK
BERKELEY, CA 94707
(37.889536004, -122.272215962)",1011 FOUNTAIN WALK,1011,FOUNTAINWALK,WELLSGRANTCONSULTANT,False
12681,"INDIVIDUAL, COUPLES AND FAMILY PSYCHOTHERAPY",Professional SemiProfessional,SELF HARMONY INDIVIDUAL AND FAMILY THERAPY INC,"3021 TELEGRAPH AVE C
BERKELEY, CA 94705
(37.855384987, -122.259471026)",3021 TELEGRAPH AVE C,3021,TELEGRAPHAVEC,SELFHARMONYINDIVIDUALANDFAMILYTHERAPY,False
12682,ARCHITECT SERVICES,Professional SemiProfessional,KAVA MASSIH ARCHITECTS,"920 GRAYSON ST
BERKELEY, CA 94710
(37.855273005, -122.291514036)",920 GRAYSON ST,920,GRAYSONST,KAVAMASSIHARCHITECTS,False
12683,RESIDENTIAL RENTAL PROPERTY - 5 UNITS,Rental of Real Property,MAK TORRANCE/CHEN TIFFANY,"2918 STANTON ST
BERKELEY, CA 94702
(37.854166007, -122.280433999)",2918 STANTON ST,2918,STANTONST,MAKTORRANCECHENTIFFANY,False
12684,RENTAL- 4-PLEX,Rental of Real Property,GENE & VICKY FAM TRUST/ GU LIDAN,"1938 CHANNING WAY
BERKELEY, CA 94704
(37.865150994, -122.270587023)",1938 CHANNING WAY,1938,CHANNINGWAY,GENEVICKYFAMTRUSTGULIDAN,False
12686,LAW OFFICE,Professional SemiProfessional,PAUL WALSH LAW APC,"2397 SHATTUCK AVE 212
BERKELEY, CA 94704
(37.866061017, -122.267132002)",2397 SHATTUCK AVE 212,2397,SHATTUCKAVE,PAULWALSHLAWAPC,False
12687,LANDSCAPING SERVICES,Business Personal Repair Svs,PLANT STARS,"1312 BLAKE ST
BERKELEY, CA 94702
(37.860671998, -122.284829972)",1312 BLAKE ST,1312,BLAKEST,PLANTSTARS,False
12688,PET FOOD MARKETING AND SALES,Retail Trade,YORA PET FOODS FOR THE PLANET INC.,"1919 ADDISON ST 202
BERKELEY, CA 94704
(37.871200004, -122.271912034)",1919 ADDISON ST 202,1919,ADDISONST,YORAPETFOODSFORTHEPLANET,False
12690,INTERIOR DESIGNS,Professional SemiProfessional,VISUAL JILL INC,"1425 SPRUCE ST
BERKELEY, CA 94709
(37.881603999, -122.265819983)",1425 SPRUCE ST,1425,SPRUCEST,VISUALJILL,False
12691,THREADING & SKIN CARE,Business Personal Repair Svs,M & M THREAD SALON INC,"2432 DURANT AVE
BERKELEY, CA 94704
(37.867191987, -122.260135963)",2432 DURANT AVE,2432,DURANTAVE,MMTHREADSALON,False
12692,RESTAURANT,Retail Trade,MESKIE'S ETHIOPIA RESTAURANT,"2955 TELEGRAPH AVE
BERKELEY, CA 94705
(37.856775, -122.259307998)",2955 TELEGRAPH AVE,2955,TELEGRAPHAVE,MESKIESETHIOPIARESTAURANT,True
12693,SKIN CARE PRODUCTS,Retail Trade,MARIE VERONIQUE,"1799 UNIVERSITY AVE
BERKELEY, CA 94703
(37.871491987, -122.275503009)",1799 UNIVERSITY AVE,1799,UNIVERSITYAVE,MARIEVERONIQUE,False
12695,"CONNECT CITIZENS WITH LOST MONEY FROM BANKS, GOVERNMENT",Professional SemiProfessional,CLINTON-HILL ASSET SOLUTIONS LLC,"2414 SACRAMENTO ST A
BERKELEY, CA 94702
(37.863310998, -122.281624983)",2414 SACRAMENTO ST A,2414,SACRAMENTOSTA,CLINTONHILLASSETSOLUTIONSLLC,False
12697,RENTAL PROPERTY/56 UNITS,Rental of Real Property,LAKIREDDY PRASAD R,"2520 HILLEGASS AVE
BERKELEY, CA 94704
(37.864607008, -122.256674991)",2520 HILLEGASS AVE,2520,HILLEGASSAVE,LAKIREDDYPRASADR,False
12698,CA LICENSED BARBER,Business Personal Repair Svs,JUNGLE BERNARD,"2522 SAN PABLO AVE
BERKELEY, CA 94702
(37.860419526, -122.289496194)",2522 SAN PABLO AVE,2522,SANPABLOAVE,JUNGLEBERNARD,False
12700,ACUPUNCTURE OFFICE,Professional SemiProfessional,GOLDEN LEAF ACUPUNCTURE INC,"2380 ELLSWORTH ST D
BERKELEY, CA 94704
(37.866559992, -122.263630965)",2380 ELLSWORTH ST D,2380,ELLSWORTHSTD,GOLDENLEAFACUPUNCTURE,False
12701,RENTAL PROPERTY - RESIDENTIAL (40+) & COMMERCIAL,Rental of Real Property,ELLSWORTH & RUEGG,"2526 DURANT AVE
BERKELEY, CA 94704
(37.867730985, -122.257743013)",2526 DURANT AVE,2526,DURANTAVE,ELLSWORTHRUEGG,False
12707,DENTAL OFFICE,Professional SemiProfessional,"RANGCHI ARSALAN, DDS","1313 GILMAN ST A
BERKELEY, CA 94706
(37.881456017, -122.289357037)",1313 GILMAN ST A,1313,GILMANSTA,RANGCHIARSALANDDS,False
12708,GENERAL CONTRACTOR,Construction or Contractor,JAY CONSTRUCTION,"2278 SHATTUCK AVE
BERKELEY, CA 94704
(37.867744019, -122.268248974)",2278 SHATTUCK AVE,2278,SHATTUCKAVE,JAYCONSTRUCTION,False
12709,CLINICAL SERVICE,Non Profit Organizations,THROUGH THE LOOKING GLASS,"3075 ADELINE ST 120
BERKELEY, CA 94703
(37.852483004, -122.269339963)",3075 ADELINE ST 120,3075,ADELINEST,THROUGHTHELOOKINGGLASS,False
12710,GENERAL BUSINESS CONSULTING/HEALTHCARE,Professional SemiProfessional,ALIX SHEILANI,"2001 ADDISON ST 300
BERKELEY, CA 94704
(37.871179007, -122.270358029)",2001 ADDISON ST 300,2001,ADDISONST,ALIXSHEILANI,False
12711,EDUCATE ON FOREST CONSERVATION & MANAGEMENT IN CALIFORNIA,Non Profit Organizations,FORESTS FOREVER INC,"1936 UNIVERSITY AVE 160
BERKELEY, CA 94704
(37.871188981, -122.272116971)",1936 UNIVERSITY AVE 160,1936,UNIVERSITYAVE,FORESTSFOREVER,False
12712,CAFE,Retail Trade,GADANI LLC,"139 BERKELEY SQ
BERKELEY, CA 94704
(37.870728019, -122.267957033)",139 BERKELEY SQ,139,BERKELEYSQ,GADANILLC,False
12713,CONSULTING ART RELATED TO ROCK 'N' ROLL,Professional SemiProfessional,KING ERIC,"1406 JOSEPHINE ST
BERKELEY, CA 94703
(37.881027995, -122.275453975)",1406 JOSEPHINE ST,1406,JOSEPHINEST,KINGERIC,False
12714,RESIDENTIAL RENTAL PROPERTY/ 5 UNITS,Rental of Real Property,LARDE ODETTE,"2738 GARBER ST
BERKELEY, CA 94705
(37.860590987, -122.251694967)",2738 GARBER ST,2738,GARBERST,LARDEODETTE,False
12715,NURSING HOME,Professional SemiProfessional,ELMWOOD CARE CENTER,"2829 SHATTUCK AVE
BERKELEY, CA 94705
(37.857417012, -122.266334967)",2829 SHATTUCK AVE,2829,SHATTUCKAVE,ELMWOODCARECENTER,False
12716,RENTAL PROPERTY/6 UNITS,Rental of Real Property,BEARY SHOSHANA & LEOR,"2267 HEARST AVE
BERKELEY, CA 94709
(37.874566008, -122.264742992)",2267 HEARST AVE,2267,HEARSTAVE,BEARYSHOSHANALEOR,False
12717,CONVENIENCE STORE,Retail Trade,JOHNSTON'S MARKET,"2515 DURANT AVE
BERKELEY, CA 94704
(37.868180004, -122.258477016)",2515 DURANT AVE,2515,DURANTAVE,JOHNSTONSMARKET,True
12720,REVITALIZING KLAMATH BASIN & IMPROVING CONDITIONS,Non Profit Organizations,KLAMATH RIVER RENEWAL CORPORATION,"2001 ADDISON ST 300
BERKELEY, CA 94704
(37.871179007, -122.270358029)",2001 ADDISON ST 300,2001,ADDISONST,KLAMATHRIVERRENEWALCORPORATION,False
12722,RESIDENTIAL RENTAL 3 UNITS,Rental of Real Property,GUSSMANN JUDITH,"2705 BENVENUE AVE
BERKELEY, CA 94705
(37.861459981, -122.254457978)",2705 BENVENUE AVE,2705,BENVENUEAVE,GUSSMANNJUDITH,False
12723,TRAVEL AGENCY,Business Personal Repair Svs,GOING PLACES TRAVEL INC,"1677 SHATTUCK AVE
BERKELEY, CA 94709
(37.876831008, -122.268659017)",1677 SHATTUCK AVE,1677,SHATTUCKAVE,GOINGPLACESTRAVEL,False
12724,CHIROPRACTIC PRACTICE,Professional SemiProfessional,FLOW CHIROPRACTIC & FAMILY WELLNESS CENTER,"2718 TELEGRAPH AVE 210
BERKELEY, CA 94705
(37.860698988, -122.259439007)",2718 TELEGRAPH AVE 210,2718,TELEGRAPHAVE,FLOWCHIROPRACTICFAMILYWELLNESSCENTER,False
12725,RENTAL RESIDENTIAL 12 UNITS,Rental of Real Property,MC LEAN APARTMENTS,"2646 DWIGHT WAY
BERKELEY, CA 94704
(37.86549, -122.254279024)",2646 DWIGHT WAY,2646,DWIGHTWAY,MCLEANAPARTMENTS,False
12726,GRAB AND GO COOKIE STORE (FOOD),Retail Trade,"INSOMNIA COOKIES, LLC","2580 BANCROFT WAY
BERKELEY, DE 94704
(37.868633004, -122.257660032)",2580 BANCROFT WAY,2580,BANCROFTWAY,INSOMNIACOOKIESLLC,False
12729,JEWELRY SALES & REPAIR,Retail Trade,OAKS JEWELERS,"1783 SOLANO AVE
BERKELEY, CA 94707
(37.891515013, -122.280460988)",1783 SOLANO AVE,1783,SOLANOAVE,OAKSJEWELERS,False
12730,"CHAI, TEA, COFFEE, BAKED GOODS, LIGHT SNACKS",Retail Trade,ELAICHI CO,"2161 ALLSTON WAY C
BERKELEY, CA 94704
(37.869857013, -122.266459019)",2161 ALLSTON WAY C,2161,ALLSTONWAYC,ELAICHICO,False
12732,RENTAL PROPERTY  - COMMERCIAL,Rental of Real Property,OKADA BROS INC,"2039 KALA BAGAI WAY
BERKELEY, CA 94704
(37.871720025, -122.267707367)",2039 KALA BAGAI WAY,2039,KALABAGAIWAY,OKADABROS,False
12734,COMMERCIAL RENTAL PROPERTY 5 UNITS,Rental of Real Property,FARAMARZ & JALEH PAKZAD,"1619 SAN PABLO AVE
BERKELEY, CA 94702
(37.874481016, -122.293497027)",1619 SAN PABLO AVE,1619,SANPABLOAVE,FARAMARZJALEHPAKZAD,False
